occurrence_no,specimen_no,identified_name_x,identified_rank,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma,phylum,class,order,family,genus,longitude,latitude,Country,state,county,paleoage,paleolng,paleolat,paleolng2,paleolat2,paleolng3,paleolat3,formation,stratscale,lithology1,lithology2,environment,assembl_comps,pres_mode,preservation_quality,fragmentation,taxon_environment,motility,life_habit,vision,diet,reproduction,composition,specimen_id,is_type,specimen_part,n_measurements,identified_name_y,measurement_type,average
489976,13134.0,n. gen. Futalognkosaurus n. sp. dukei,species,Futalognkosaurus dukei,species,Late Turonian,Early Coniacian,93.9,86.3,Chordata,Saurischia,Sauropod,Sauropodidae,Futalognkosaurus,-68.724556,-38.453194,AR,Neuquén,,mid,-39.15,-39.31,-47.17,-44.38,-38.82,-42.85,Portezuelo,bed,conglomerate,sandstone,channel lag,"macrofossils,mesofossils",body,good,occasional,terrestrial,facultatively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,MUCPv 323,holotype,pubis,1.0,Futalognkosaurus dukei,length,0.137
475222,18568.0,n. gen. Elaphrosaurus n. sp. bambergi,species,Elaphrosaurus bambergi,species,Late Kimmeridgian,,152.2,149.2,Chordata,Reptilia,Theropoda,Noasauridae,Elaphrosaurus,39.228348,-9.681635,TZ,Lindi,,mid,31.29,-37.95,16.71,-29.39,22.29,-41.45,Tendaguru,bed,marl,marl,estuary/bay,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,HMN dd,,femur,1.0,Elaphrosaurus bambergi,length,519.0
475222,18568.0,n. gen. Elaphrosaurus n. sp. bambergi,species,Elaphrosaurus bambergi,species,Late Kimmeridgian,,152.2,149.2,Chordata,Reptilia,Theropoda,Noasauridae,Elaphrosaurus,39.228348,-9.681635,TZ,Lindi,,mid,31.29,-37.95,16.71,-29.39,22.29,-41.45,Tendaguru,bed,marl,marl,estuary/bay,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,HMN dd,,femur,1.0,Elaphrosaurus bambergi,circumference,165.0
475222,18569.0,n. gen. Elaphrosaurus n. sp. bambergi,species,Elaphrosaurus bambergi,species,Late Kimmeridgian,,152.2,149.2,Chordata,Reptilia,Theropoda,Noasauridae,Elaphrosaurus,39.228348,-9.681635,TZ,Lindi,,mid,31.29,-37.95,16.71,-29.39,22.29,-41.45,Tendaguru,bed,marl,marl,estuary/bay,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,HMN dd,,tibia,1.0,Elaphrosaurus bambergi,length,608.0
475222,18569.0,n. gen. Elaphrosaurus n. sp. bambergi,species,Elaphrosaurus bambergi,species,Late Kimmeridgian,,152.2,149.2,Chordata,Reptilia,Theropoda,Noasauridae,Elaphrosaurus,39.228348,-9.681635,TZ,Lindi,,mid,31.29,-37.95,16.71,-29.39,22.29,-41.45,Tendaguru,bed,marl,marl,estuary/bay,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,HMN dd,,tibia,1.0,Elaphrosaurus bambergi,circumference,132.0
485130,18592.0,n. gen. Laelaps n. sp. aquilunguis,species,Dryptosaurus aquilunguis,species,Late Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Dryptosauridae,Dryptosaurus,-75.160278,39.732777,US,New Jersey,Gloucestershire,mid,-38.49,41.13,-51.06,40.28,-49.87,39.92,New Egypt,bed,sandstone,marl,terrestrial indet.,macrofossils,body,medium,extreme,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,ANSP 9995,holotype,fibula,1.0,Laelaps aquilunguis,length,787.0
485130,18592.0,n. gen. Laelaps n. sp. aquilunguis,species,Dryptosaurus aquilunguis,species,Late Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Dryptosauridae,Dryptosaurus,-75.160278,39.732777,US,New Jersey,Gloucestershire,mid,-38.49,41.13,-51.06,40.28,-49.87,39.92,New Egypt,bed,sandstone,marl,terrestrial indet.,macrofossils,body,medium,extreme,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,ANSP 9995,holotype,fibula,1.0,Laelaps aquilunguis,circumference,270.0
485130,18593.0,n. gen. Laelaps n. sp. aquilunguis,species,Dryptosaurus aquilunguis,species,Late Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Dryptosauridae,Dryptosaurus,-75.160278,39.732777,US,New Jersey,Gloucestershire,mid,-38.49,41.13,-51.06,40.28,-49.87,39.92,New Egypt,bed,sandstone,marl,terrestrial indet.,macrofossils,body,medium,extreme,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,ANSP 9995,holotype,tibia,1.0,Laelaps aquilunguis,length,830.0
485130,18593.0,n. gen. Laelaps n. sp. aquilunguis,species,Dryptosaurus aquilunguis,species,Late Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Dryptosauridae,Dryptosaurus,-75.160278,39.732777,US,New Jersey,Gloucestershire,mid,-38.49,41.13,-51.06,40.28,-49.87,39.92,New Egypt,bed,sandstone,marl,terrestrial indet.,macrofossils,body,medium,extreme,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,ANSP 9995,holotype,tibia,1.0,Laelaps aquilunguis,circumference,258.0
536124,18594.0,Tanycolagreus topwilsoni,species,Tanycolagreus topwilsoni,species,Kimmeridgian,Tithonian,154.8,145.0,Chordata,Reptilia,Theropoda,Tanycolagreidae,Tanycolagreus,-106.048615,42.017776,US,Wyoming,Albany,mid,-40.44,28.7,-53.29,37.97,-42.3,31.93,Morrison,bed,sandstone,sandstone,coarse channel fill,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 587,,fibula,1.0,Tanycolagreus topwilsoni,circumference,64.0
536124,18594.0,Tanycolagreus topwilsoni,species,Tanycolagreus topwilsoni,species,Kimmeridgian,Tithonian,154.8,145.0,Chordata,Reptilia,Theropoda,Tanycolagreidae,Tanycolagreus,-106.048615,42.017776,US,Wyoming,Albany,mid,-40.44,28.7,-53.29,37.97,-42.3,31.93,Morrison,bed,sandstone,sandstone,coarse channel fill,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 587,,fibula,1.0,Tanycolagreus topwilsoni,length,210.0
536124,18595.0,Tanycolagreus topwilsoni,species,Tanycolagreus topwilsoni,species,Kimmeridgian,Tithonian,154.8,145.0,Chordata,Reptilia,Theropoda,Tanycolagreidae,Tanycolagreus,-106.048615,42.017776,US,Wyoming,Albany,mid,-40.44,28.7,-53.29,37.97,-42.3,31.93,Morrison,bed,sandstone,sandstone,coarse channel fill,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 587,,tibia,1.0,Tanycolagreus topwilsoni,circumference,41.0
536124,18595.0,Tanycolagreus topwilsoni,species,Tanycolagreus topwilsoni,species,Kimmeridgian,Tithonian,154.8,145.0,Chordata,Reptilia,Theropoda,Tanycolagreidae,Tanycolagreus,-106.048615,42.017776,US,Wyoming,Albany,mid,-40.44,28.7,-53.29,37.97,-42.3,31.93,Morrison,bed,sandstone,sandstone,coarse channel fill,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 587,,tibia,1.0,Tanycolagreus topwilsoni,length,165.0
536124,18596.0,Tanycolagreus topwilsoni,species,Tanycolagreus topwilsoni,species,Kimmeridgian,Tithonian,154.8,145.0,Chordata,Reptilia,Theropoda,Tanycolagreidae,Tanycolagreus,-106.048615,42.017776,US,Wyoming,Albany,mid,-40.44,28.7,-53.29,37.97,-42.3,31.93,Morrison,bed,sandstone,sandstone,coarse channel fill,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 587,,fibula,1.0,Tanycolagreus topwilsoni,circumference,24.0
536124,18596.0,Tanycolagreus topwilsoni,species,Tanycolagreus topwilsoni,species,Kimmeridgian,Tithonian,154.8,145.0,Chordata,Reptilia,Theropoda,Tanycolagreidae,Tanycolagreus,-106.048615,42.017776,US,Wyoming,Albany,mid,-40.44,28.7,-53.29,37.97,-42.3,31.93,Morrison,bed,sandstone,sandstone,coarse channel fill,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 587,,fibula,1.0,Tanycolagreus topwilsoni,length,162.0
513562,18597.0,n. gen. Anserimimus n. sp. planinychus,species,Anserimimus planinychus,species,Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Ornithomimidae,Anserimimus,99.599998,43.540001,MN,Omnogov,,mid,93.05,36.26,88.27,40.85,98.38,46.57,Nemegt,bed,not reported,not reported,terrestrial indet.,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,SPS GIN AN MPR 100/300,holotype,femur,1.0,Anserimimus planinychus,length,433.0
513562,18597.0,n. gen. Anserimimus n. sp. planinychus,species,Anserimimus planinychus,species,Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Ornithomimidae,Anserimimus,99.599998,43.540001,MN,Omnogov,,mid,93.05,36.26,88.27,40.85,98.38,46.57,Nemegt,bed,not reported,not reported,terrestrial indet.,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,SPS GIN AN MPR 100/300,holotype,femur,1.0,Anserimimus planinychus,circumference,145.0
513562,18598.0,n. gen. Anserimimus n. sp. planinychus,species,Anserimimus planinychus,species,Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Ornithomimidae,Anserimimus,99.599998,43.540001,MN,Omnogov,,mid,93.05,36.26,88.27,40.85,98.38,46.57,Nemegt,bed,not reported,not reported,terrestrial indet.,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,SPS GIN AN MPR 100/300,holotype,tibia,1.0,Anserimimus planinychus,length,472.0
513562,18598.0,n. gen. Anserimimus n. sp. planinychus,species,Anserimimus planinychus,species,Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Ornithomimidae,Anserimimus,99.599998,43.540001,MN,Omnogov,,mid,93.05,36.26,88.27,40.85,98.38,46.57,Nemegt,bed,not reported,not reported,terrestrial indet.,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,SPS GIN AN MPR 100/300,holotype,tibia,1.0,Anserimimus planinychus,circumference,125.0
513562,18599.0,n. gen. Anserimimus n. sp. planinychus,species,Anserimimus planinychus,species,Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Ornithomimidae,Anserimimus,99.599998,43.540001,MN,Omnogov,,mid,93.05,36.26,88.27,40.85,98.38,46.57,Nemegt,bed,not reported,not reported,terrestrial indet.,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,SPS GIN AN MPR 100/300,holotype,fibula,1.0,Anserimimus planinychus,length,427.0
513562,18599.0,n. gen. Anserimimus n. sp. planinychus,species,Anserimimus planinychus,species,Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Ornithomimidae,Anserimimus,99.599998,43.540001,MN,Omnogov,,mid,93.05,36.26,88.27,40.85,98.38,46.57,Nemegt,bed,not reported,not reported,terrestrial indet.,macrofossils,body,good,frequent,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,SPS GIN AN MPR 100/300,holotype,fibula,1.0,Anserimimus planinychus,circumference,29.0
487439,18600.0,Ornithomimus n. sp. asiaticus,species,Archaeornithomimus asiaticus,species,Middle Campanian,Late Campanian,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Archaeornithomimus,112.427498,43.83139,CN,Nei Mongol,,mid,106.74,40.52,101.73,42.05,112.99,48.07,Iren Dabasu,bed,not reported,not reported,fluvial-lacustrine indet.,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 21800,,femur,1.0,Ornithomimus asiaticus,length,326.0
487439,18600.0,Ornithomimus n. sp. asiaticus,species,Archaeornithomimus asiaticus,species,Middle Campanian,Late Campanian,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Archaeornithomimus,112.427498,43.83139,CN,Nei Mongol,,mid,106.74,40.52,101.73,42.05,112.99,48.07,Iren Dabasu,bed,not reported,not reported,fluvial-lacustrine indet.,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 21800,,femur,1.0,Ornithomimus asiaticus,circumference,106.0
487439,18600.0,Ornithomimus n. sp. asiaticus,species,Archaeornithomimus asiaticus,species,Middle Campanian,Late Campanian,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Archaeornithomimus,112.427498,43.83139,CN,Nei Mongol,,mid,106.74,40.52,101.73,42.05,112.99,48.07,Iren Dabasu,bed,not reported,not reported,fluvial-lacustrine indet.,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 21800,,femur,1.0,Ornithomimus asiaticus,width,31.5
487441,18601.0,Ornithomimus asiaticus,species,Archaeornithomimus asiaticus,species,Middle Campanian,Late Campanian,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Archaeornithomimus,112.183334,43.741669,CN,Nei Mongol,,mid,106.55,40.39,101.53,41.92,112.74,47.96,Iren Dabasu,bed,not reported,not reported,fluvial-lacustrine indet.,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 6570,,femur,1.0,Ornithomimus asiaticus,length,301.0
487441,18601.0,Ornithomimus asiaticus,species,Archaeornithomimus asiaticus,species,Middle Campanian,Late Campanian,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Archaeornithomimus,112.183334,43.741669,CN,Nei Mongol,,mid,106.55,40.39,101.53,41.92,112.74,47.96,Iren Dabasu,bed,not reported,not reported,fluvial-lacustrine indet.,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 6570,,femur,1.0,Ornithomimus asiaticus,circumference,103.0
487439,18602.0,Ornithomimus n. sp. asiaticus,species,Archaeornithomimus asiaticus,species,Middle Campanian,Late Campanian,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Archaeornithomimus,112.427498,43.83139,CN,Nei Mongol,,mid,106.74,40.52,101.73,42.05,112.99,48.07,Iren Dabasu,bed,not reported,not reported,fluvial-lacustrine indet.,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 21801,,tibia,1.0,Ornithomimus asiaticus,length,403.0
487439,18602.0,Ornithomimus n. sp. asiaticus,species,Archaeornithomimus asiaticus,species,Middle Campanian,Late Campanian,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Archaeornithomimus,112.427498,43.83139,CN,Nei Mongol,,mid,106.74,40.52,101.73,42.05,112.99,48.07,Iren Dabasu,bed,not reported,not reported,fluvial-lacustrine indet.,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 21801,,tibia,1.0,Ornithomimus asiaticus,circumference,89.0
487439,18602.0,Ornithomimus n. sp. asiaticus,species,Archaeornithomimus asiaticus,species,Middle Campanian,Late Campanian,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Archaeornithomimus,112.427498,43.83139,CN,Nei Mongol,,mid,106.74,40.52,101.73,42.05,112.99,48.07,Iren Dabasu,bed,not reported,not reported,fluvial-lacustrine indet.,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 21801,,tibia,1.0,Ornithomimus asiaticus,width,24.0
487439,18603.0,Ornithomimus n. sp. asiaticus,species,Archaeornithomimus asiaticus,species,Middle Campanian,Late Campanian,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Archaeornithomimus,112.427498,43.83139,CN,Nei Mongol,,mid,106.74,40.52,101.73,42.05,112.99,48.07,Iren Dabasu,bed,not reported,not reported,fluvial-lacustrine indet.,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 6576,,tibia,1.0,Ornithomimus asiaticus,length,305.0
487439,18603.0,Ornithomimus n. sp. asiaticus,species,Archaeornithomimus asiaticus,species,Middle Campanian,Late Campanian,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Archaeornithomimus,112.427498,43.83139,CN,Nei Mongol,,mid,106.74,40.52,101.73,42.05,112.99,48.07,Iren Dabasu,bed,not reported,not reported,fluvial-lacustrine indet.,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 6576,,tibia,1.0,Ornithomimus asiaticus,circumference,89.0
487441,18604.0,Ornithomimus asiaticus,species,Archaeornithomimus asiaticus,species,Middle Campanian,Late Campanian,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Archaeornithomimus,112.183334,43.741669,CN,Nei Mongol,,mid,106.55,40.39,101.53,41.92,112.74,47.96,Iren Dabasu,bed,not reported,not reported,fluvial-lacustrine indet.,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 6570,,tibia,1.0,Ornithomimus asiaticus,length,463.0
487441,18604.0,Ornithomimus asiaticus,species,Archaeornithomimus asiaticus,species,Middle Campanian,Late Campanian,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Archaeornithomimus,112.183334,43.741669,CN,Nei Mongol,,mid,106.55,40.39,101.53,41.92,112.74,47.96,Iren Dabasu,bed,not reported,not reported,fluvial-lacustrine indet.,macrofossils,body,good,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 6570,,tibia,1.0,Ornithomimus asiaticus,circumference,115.0
517533,18607.0,Dromiceiomimus brevitertius,species,Dromiceiomimus brevitertius,species,Early Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Ornithomimidae,Dromiceiomimus,-112.958298,51.935501,CA,Alberta,,mid,-68.1,64.07,-84.63,59.95,-84.28,58.46,Horseshoe Canyon,group of beds,sandstone,sandstone,terrestrial indet.,macrofossils,body,,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 5201,,femur,1.0,Dromiceiomimus brevitertius,length,392.0
517533,18607.0,Dromiceiomimus brevitertius,species,Dromiceiomimus brevitertius,species,Early Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Ornithomimidae,Dromiceiomimus,-112.958298,51.935501,CA,Alberta,,mid,-68.1,64.07,-84.63,59.95,-84.28,58.46,Horseshoe Canyon,group of beds,sandstone,sandstone,terrestrial indet.,macrofossils,body,,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 5201,,femur,1.0,Dromiceiomimus brevitertius,circumference,100.0
517533,18608.0,Dromiceiomimus brevitertius,species,Dromiceiomimus brevitertius,species,Early Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Ornithomimidae,Dromiceiomimus,-112.958298,51.935501,CA,Alberta,,mid,-68.1,64.07,-84.63,59.95,-84.28,58.46,Horseshoe Canyon,group of beds,sandstone,sandstone,terrestrial indet.,macrofossils,body,,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 5201,,tibia,1.0,Dromiceiomimus brevitertius,length,436.0
517533,18608.0,Dromiceiomimus brevitertius,species,Dromiceiomimus brevitertius,species,Early Maastrichtian,,72.1,66.0,Chordata,Reptilia,Theropoda,Ornithomimidae,Dromiceiomimus,-112.958298,51.935501,CA,Alberta,,mid,-68.1,64.07,-84.63,59.95,-84.28,58.46,Horseshoe Canyon,group of beds,sandstone,sandstone,terrestrial indet.,macrofossils,body,,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 5201,,tibia,1.0,Dromiceiomimus brevitertius,circumference,92.0
517542,18621.0,Struthiomimus altus,species,Struthiomimus altus,species,Campanian,,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Struthiomimus,-111.620003,50.599998,CA,Alberta,,mid,-65.8,60.58,-75.28,58.5,-79.08,55.51,Oldman,bed,not reported,not reported,terrestrial indet.,macrofossils,body,excellent,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,Amer. Mus. No. 5339,,femur,1.0,Struthiomimus altus,circumference,127.0
517542,18621.0,Struthiomimus altus,species,Struthiomimus altus,species,Campanian,,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Struthiomimus,-111.620003,50.599998,CA,Alberta,,mid,-65.8,60.58,-75.28,58.5,-79.08,55.51,Oldman,bed,not reported,not reported,terrestrial indet.,macrofossils,body,excellent,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,Amer. Mus. No. 5339,,femur,1.0,Struthiomimus altus,length,486.0
517542,18621.0,Struthiomimus altus,species,Struthiomimus altus,species,Campanian,,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Struthiomimus,-111.620003,50.599998,CA,Alberta,,mid,-65.8,60.58,-75.28,58.5,-79.08,55.51,Oldman,bed,not reported,not reported,terrestrial indet.,macrofossils,body,excellent,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,Amer. Mus. No. 5339,,femur,1.0,Struthiomimus altus,width,44.0
517542,18622.0,Struthiomimus altus,species,Struthiomimus altus,species,Campanian,,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Struthiomimus,-111.620003,50.599998,CA,Alberta,,mid,-65.8,60.58,-75.28,58.5,-79.08,55.51,Oldman,bed,not reported,not reported,terrestrial indet.,macrofossils,body,excellent,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,Amer. Mus. No. 5339,,fibula,1.0,Struthiomimus altus,circumference,40.0
517542,18622.0,Struthiomimus altus,species,Struthiomimus altus,species,Campanian,,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Struthiomimus,-111.620003,50.599998,CA,Alberta,,mid,-65.8,60.58,-75.28,58.5,-79.08,55.51,Oldman,bed,not reported,not reported,terrestrial indet.,macrofossils,body,excellent,occasional,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,Amer. Mus. No. 5339,,fibula,1.0,Struthiomimus altus,length,526.0
517539,18623.0,Struthiomimus altus,species,Struthiomimus altus,species,Campanian,,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Struthiomimus,-111.620003,50.599998,CA,Alberta,,mid,-65.8,60.58,-75.28,58.5,-79.08,55.51,Oldman,bed,not reported,not reported,terrestrial indet.,macrofossils,body,,frequent,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 5385,,femur,1.0,Struthiomimus altus,circumference,99.0
517539,18623.0,Struthiomimus altus,species,Struthiomimus altus,species,Campanian,,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Struthiomimus,-111.620003,50.599998,CA,Alberta,,mid,-65.8,60.58,-75.28,58.5,-79.08,55.51,Oldman,bed,not reported,not reported,terrestrial indet.,macrofossils,body,,frequent,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 5385,,femur,1.0,Struthiomimus altus,length,372.0
517539,18624.0,Struthiomimus altus,species,Struthiomimus altus,species,Campanian,,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Struthiomimus,-111.620003,50.599998,CA,Alberta,,mid,-65.8,60.58,-75.28,58.5,-79.08,55.51,Oldman,bed,not reported,not reported,terrestrial indet.,macrofossils,body,,frequent,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 5385,,tibia,1.0,Struthiomimus altus,circumference,90.0
517539,18624.0,Struthiomimus altus,species,Struthiomimus altus,species,Campanian,,83.6,72.1,Chordata,Reptilia,Theropoda,Ornithomimidae,Struthiomimus,-111.620003,50.599998,CA,Alberta,,mid,-65.8,60.58,-75.28,58.5,-79.08,55.51,Oldman,bed,not reported,not reported,terrestrial indet.,macrofossils,body,,frequent,terrestrial,actively mobile,"ground dwelling, gregarious",,"herbivore, omnivore","oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 5385,,tibia,1.0,Struthiomimus altus,length,419.0
489802,18625.0,n. gen. Alectrosaurus n. sp. olseni,species,Alectrosaurus olseni,species,Middle Campanian,Late Campanian,83.6,72.1,Chordata,Reptilia,Theropoda,Troodontidae,Alectrosaurus,112.01667,43.733334,CN,Nei Mongol,,mid,106.4,40.35,101.38,41.88,112.56,47.94,Iren Dabasu,bed,not reported,not reported,fluvial-lacustrine indet.,macrofossils,body,,,terrestrial,actively mobile,"ground dwelling, solitary",,carnivore,"oviparous, dispersal=direct/internal,mobile",hydroxyapatite,AMNH 6554,,femur,1.0,Alectrosaurus olseni,length,661.0
